H0,F0,C,g,e,rh,rf,th,tf,dh,df,Modeled_RDI,Final_Lymphoma_Burden,Final_Reserve_Index
0.6596210618892804,0.5349079230434636,0.24952325252928864,0.17949416286012596,0.5025841104085472,0.22911989040700184,0.15651252270484428,0.226760739069996,0.17612801812009055,0.06151259391573471,0.10388340080356323,0.5969444444444492,0.2358089049784144,0.360698048110181
0.6847581495162376,0.8143669949647121,0.16355748528296182,0.1812549030310723,0.7049053408992446,0.16453731314487616,0.14414304221911906,0.21276171240447495,0.23035469749207077,0.1222049513046101,0.06841225529477346,0.6656111111111099,0.09840838691901509,0.37413179507815714
0.5067120316095681,0.5807540157875968,0.22654392480599653,0.16717156514146791,0.5601637011396532,0.2189306534017632,0.09628098506293276,0.24245999228001047,0.2436467272358641,0.10791704735538674,0.03545822276686849,0.5615000000000046,0.2080161225741048,0.298272120460998
0.5653571404399234,0.7683341768771903,0.2314873067263813,0.1850938446095037,0.6030309206607922,0.1090293609176144,0.20966998590866193,0.2025023999402613,0.13372100821633523,0.12978899199416613,0.04574889648118448,0.6540555555555556,0.14880351356533864,0.38823289800207356
0.8488467930783052,0.7658042224213157,0.29130080574257317,0.25464023566333444,0.5283559299912871,0.2526074413382857,0.17251294931235306,0.15391014016891047,0.18259811846026602,0.13020567474996,0.1162201817706754,0.7272916666666595,0.19614698955418974,0.41368460165959603
0.4705216161955084,0.5571804255955822,0.21600935786460523,0.2636713209494813,0.759436959292888,0.18314140314987482,0.1649261039431527,0.22164749618430782,0.13839889204098668,0.09835614187769845,0.06324969825077242,0.5500000000000045,0.16775603454343593,0.3724093708561355
0.6976791325317225,0.8604649841128449,0.19520510244080605,0.22607245101184514,0.687290731077553,0.11402554553216307,0.1343354297245699,0.10627752594903608,0.24200845946333438,0.09430115484920107,0.06962659786797626,0.70818055555555,0.10606308432388532,0.39964329810568416
0.6481339820102143,0.5974603083068031,0.4193388410172584,0.2463536700421915,0.598008375099262,0.13826443430897875,0.22720633446883243,0.1734320751739678,0.15410146989290296,0.042732085847217396,0.06883237690071557,0.6351666666666688,0.198147850190903,0.39080062771112695
0.7444042688597698,0.8237613795434094,0.2794441849382197,0.25669798695860224,0.739737221391827,0.1360071902153605,0.21873326059441323,0.17847341247756393,0.16750362116368334,0.1581826208440099,0.1013938765541603,0.7056527777777725,0.09912363460992622,0.40638273896641985
0.7686485779917978,0.8007287916307367,0.24397978450577318,0.16559205377329864,0.5087564294330627,0.10326138601250962,0.1602724995232256,0.14898716006892804,0.08462262830714815,0.15364619950492417,0.061978540845284404,0.7550694444444339,0.1431917783621913,0.4340624150860757
0.8755793148511145,0.8394497320087969,0.5871257658566151,0.20213730322871648,0.5272578469736595,0.17573153351772947,0.22130822051309262,0.25918101374279423,0.08706600630092304,0.15169880650038184,0.0894829326359629,0.6845694444444418,0.18777968871750872,0.39028995826519985
0.8315675461491504,0.8474234399602589,0.3772732805924188,0.236985857711631,0.4992794235574516,0.10267632211584451,0.19433535930204468,0.1931396975160516,0.22529817276078284,0.13136410860356224,0.06977826220004253,0.6611805555555558,0.24560207928383349,0.33634107996429274
0.5800057700547603,0.5954117236243381,0.16743658876715303,0.22423344223973196,0.7501928660230203,0.25417478595214643,0.2150763510762484,0.16346684055291966,0.2229687648054377,0.07371513397246227,0.05609602332606251,0.7273333333333266,0.07606997805363148,0.419969860563943
0.8223169943774302,0.8281463558738895,0.19275527251813432,0.22213219438615955,0.7571596468776391,0.1396568824440258,0.15934221826658979,0.17218459211171455,0.1485663957862295,0.05003848133315402,0.05672349919343564,0.7861805555555442,0.058472123894198855,0.45611349589973765
0.6527315766899474,0.5741867854407959,0.28155554391793136,0.18067442847434212,0.6920315335190127,0.26662469935633815,0.09132773106945757,0.18787931133100594,0.15365592741723338,0.12664997699658376,0.08720081639493493,0.6167222222222264,0.12353939522161919,0.3755941214086587
0.6140051055977809,0.6927201346410713,0.5282811014557505,0.24287070247228387,0.6410628086507083,0.260689280091549,0.15103656715360778,0.19940892039607522,0.21310146997699114,0.129720699686978,0.07115013676378223,0.6027222222222268,0.18894898512542246,0.34507827173311495
0.8011473261385048,0.6354097802975848,0.2565996275147744,0.17803862326458839,0.5068854198679773,0.11794902548011525,0.1112165614037586,0.10550652527661375,0.1075127832435603,0.05733872075852926,0.048781919775081936,0.7499999999999896,0.15232744254623948,0.4475349733430857
0.6061776057592286,0.7783643943235681,0.41803716601299223,0.1962622951306825,0.5494149965101744,0.16003617317742028,0.13078654101429935,0.15443333283558347,0.24266060864117495,0.11908161040579585,0.11004485923977976,0.6095000000000044,0.20949544941423462,0.3148388820056721
0.6387806992913498,0.5626407704537137,0.16112617016956937,0.25944420422796777,0.5333846861770032,0.12240535491314578,0.23102140528584914,0.2054753531491229,0.18453656067201102,0.09655877044400864,0.06058799380280831,0.6130555555555598,0.2638735602992382,0.3612757268634838
0.8815656847422715,0.47990823516948655,0.3292331860348069,0.2333188500441032,0.570210650743432,0.21858863538140672,0.1197279122243732,0.1595841991294989,0.22671040223409927,0.1317924613501589,0.12408110365113871,0.605944444444449,0.22349247490661492,0.3300678429572963
0.5558413027439686,0.6930743960947034,0.5967322509836718,0.21515739842021514,0.6724502408440586,0.15465102291652144,0.08991205659782446,0.24846466344410864,0.19714760950839263,0.04952619158261901,0.06549227410551961,0.5778333333333382,0.16871511996837005,0.2786827990695301
0.5426934169893363,0.7764497801040593,0.5939672698808709,0.19608789525446338,0.7359301886693762,0.14585667122452312,0.16560719812043911,0.09756111292851743,0.08717286852353222,0.14278703297278758,0.12338662197976111,0.6704999999999982,0.0915772932249687,0.41237786234838086
0.5266961953463356,0.6949198787055643,0.3955973063359347,0.2371042207592815,0.5346335503282647,0.22040088263113194,0.13323068722896564,0.1974502628603201,0.20886524345231322,0.1534508252210829,0.09462792437046118,0.5816111111111162,0.2639348117252559,0.308881126909036
0.7661250148158583,0.7088881564248183,0.4441885172026222,0.25551017272953147,0.7254046878485837,0.12898370809294593,0.16032462714576162,0.12316190902489416,0.1265875082271149,0.050701221759473426,0.11657713721289921,0.7448333333333235,0.08781548707052014,0.4189229101748609
0.5975236626549194,0.879700084460876,0.18707814619171284,0.26801807159986724,0.5747393534692542,0.1845866905382076,0.13268073525078183,0.2474034425194133,0.17584284402102104,0.1358379266491198,0.042071613524663896,0.667944444444443,0.2075994765803207,0.3802250139864049
0.7526036513855237,0.6301210891067499,0.4589345116783712,0.22052779081789442,0.524212580322499,0.11899556734584114,0.22092099271251991,0.24916823739642757,0.10005846995752052,0.13059648895789208,0.04225808826811441,0.6289444444444473,0.2325388274940635,0.3558237026885624
0.4994733534397843,0.45503877999820197,0.19149392860675465,0.27839881292587465,0.497226911316518,0.20661299879333253,0.11348862994450895,0.199529862811811,0.24921835915861956,0.09769832313978805,0.06138855078780539,0.5500000000000045,0.3400809422618867,0.26810855302305686
0.7314526574543205,0.7408020981940453,0.3577311656862544,0.19405964521810343,0.6797285209144144,0.11846164990684904,0.0816616218860876,0.1461004272541773,0.20127923690061622,0.13710209393172848,0.09221537216995468,0.6385000000000017,0.12519155738295343,0.33523209725183734
0.6402826152633393,0.5814021779664634,0.34376920709089137,0.2527371489183008,0.48202027330796376,0.21775049244629724,0.11728098668923828,0.17087431524947355,0.23083577132251232,0.10166387999947651,0.10534364377321602,0.584388888888894,0.3149823971702567,0.30177055603436387
